item_id,item_short_description,icu_1,icu_2,icu_3,icu_4,icu_5,icu_6,icu_7,icu_8,icu_9,icu_10,icu_11,icu_12,icu_13,icu_14,icu_15,icu_16,icu_17,icu_18,icu_19,icu_20
1,cvc_indication_documented,1.0,0.85,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.8,0.9,0.9,1.0,0.95,0.8,0.85
2,cvc_guideline_availability,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0
3,cvc_initial_staff_training,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0
4,cvc_refresher_training,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
5,cvc_daily_chg_bathing_icu,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,cvc_insertion_checklist_observer,0.8,0.1,0.0,0.0,0.6,0.8,0.6,0.8,0.45,0.8,0.7,0.0,1.0,0.6,0.9,0.65,0.0,0.6,0.8,0.5
7,cvc_insertion_asepsis_stop,1.0,0.4,0.6,0.6,0.45,0.6,0.8,0.8,1.0,0.8,0.7,0.75,1.0,0.6,0.6,0.3,1.0,0.6,0.6,0.6
8,cvc_insertion_kit_use,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.6,1.0,1.0,1.0,0.8,1.0,0.6
9,cvc_hand_hygiene_compliance,1.0,0.45,0.6,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.6,1.0,0.6,1.0,0.8
10,cvc_sterile_gown_use,0.75,0.1,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.95,1.0,0.6,0.2,0.7
11,cvc_sterile_cap_use,0.4,0.1,0.0,0.8,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.85,0.8,0.6,0.6,0.2,0.5,0.6,0.0,0.5
12,cvc_sterile_gloves_use,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,cvc_mask_use,0.7,0.2,0.4,0.9,1.0,1.0,1.0,0.7,0.9,1.0,1.0,1.0,1.0,0.7,0.4,0.8,1.0,0.8,0.6,0.55
14,cvc_skin_antisepsis_chg,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,cvc_full_sterile_draping,1.0,0.1,0.6,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.7,0.4,0.5,1.0,0.5,0.8,0.65
16,cvc_ultrasound_guidance_use,0.75,0.5,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.0,0.4,1.0,0.7,0.8,0.6
17,cvc_subclavian_vein_preference,0.6,0.7,0.2,0.6,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.4,0.4,0.5,0.1,0.75,0.6,0.7,0.5
18,cvc_avoid_guidewire_exchange_infection,1.0,0.7,0.9,1.0,0.8,0.85,0.9,1.0,1.0,0.8,0.9,1.0,1.0,1.0,0.6,1.0,1.0,0.8,0.6,0.8
19,cvc_secure_fixation,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
20,cvc_sterile_dressing_application,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6,1.0,1.0,0.7,1.0,0.9
21,cvc_gauze_dressing_for_oozing,1.0,0.8,1.0,1.0,0.9,0.9,0.85,0.8,1.0,0.9,0.95,1.0,1.0,0.8,0.6,0.9,1.0,0.7,0.6,0.8
22,cvc_adequate_nurse_patient_ratio,0.8,0.6,0.9,0.95,1.0,1.0,0.95,0.4,0.35,0.9,0.95,0.85,1.0,0.9,0.7,1.0,1.0,0.6,0.8,0.7
23,cvc_stable_nursing_staff,0.9,0.8,0.9,0.85,1.0,1.0,1.0,0.8,0.65,1.0,1.0,0.85,0.7,0.7,0.5,0.75,0.7,0.5,0.8,0.75
24,cvc_daily_necessity_assessment,1.0,0.7,0.8,0.95,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.6,1.0,0.9,0.8,0.85
25,cvc_avoid_routine_replacement,0.0,0.9,0.9,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.8
26,cvc_replace_nonaseptic_cvc_48h,1.0,0.5,0.9,0.85,0.8,1.0,0.9,0.6,0.8,0.8,0.8,1.0,1.0,1.0,0.6,0.9,0.0,0.6,0.1,0.7
27,cvc_chg_impregnated_dressing_use,0.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0.7,0.1,0.0,0.6,0.2,0.3
28,cvc_hub_disinfection_15s,0.5,0.3,0.5,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.6,1.0,0.6,0.3,0.7
29,cvc_daily_dressing_inspection,1.0,0.8,0.8,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,0.6,1.0,0.8
30,cvc_daily_site_tenderness_assessment,0.5,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.5,1.0,0.8,0.7,0.8
31,cvc_transparent_dressing_change_7d,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.9,0.8,0.2,0.75
32,cvc_gauze_dressing_change_2d,1.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,1.0,0.9,0.7,0.85
33,cvc_dressing_change_if_soiled,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.5,0.9,1.0,0.0
34,cvc_standard_infusion_set_change_96h,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8,1.0,0.5,0.8,1.0,0.9
35,cvc_verify_daily_chg_bathing,0.5,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.3,0.5,0.1,0.0,0.4,0.2,0.4
36,cvc_daily_multidisciplinary_rounds,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0
37,cvc_crbsi_surveillance_system,1.0,0.8,0.9,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.6,0.9,0.0,0.6,0.8,0.8
38,cvc_nurse_experience_over_1y,0.5,0.7,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.7,0.4,0.6,1.0,0.8,0.8,0.8
39,cvc_dedicated_insertion_team,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0
40,cvc_avoid_prophylactic_abx_pre,0.5,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.65,1.0,1.0,1.0,0.6,1.0,0.5,0.7,0.4,0.7
41,cvc_avoid_prophylactic_abx_maintenance,0.5,0.9,1.0,1.0,0.65,0.8,0.8,1.0,1.0,0.85,0.85,1.0,0.8,1.0,0.6,1.0,0.5,0.8,0.4,0.8
42,cvc_abx_ointment_hemodialysis_only,0.5,0.3,0.7,0.5,0.7,1.0,0.9,0.0,0.0,0.6,0.7,1.0,0.8,0.6,0.2,0.5,0.5,0.8,0.2,0.4
43,cvc_appropriate_abx_lock_therapy,0.5,0.2,0.5,0.0,0.85,0.9,0.8,1.0,0.0,0.8,0.9,1.0,0.0,0.2,0.5,0.5,0.0,0.8,0.9,0.4
44,cvc_avoid_routine_catheter_replacement,1.0,0.7,1.0,0.95,0.8,0.9,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.5,1.0,0.5,0.6,0.9,0.9
45,cvc_avoid_routine_vancomycin_lock,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,0.6,1.0,1.0,0.7,0.9,0.5
46,cvc_avoid_routine_abx_impregnated_cvc,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,1.0,0.7,0.75,0.9
47,cvc_avoid_femoral_site_adults,0.8,0.6,0.8,0.9,0.8,1.0,0.9,0.6,0.7,0.8,0.8,1.0,1.0,1.0,0.5,0.9,0.5,0.7,0.6,0.7
48,cvc_replace_lower_limb_cvc_early,0.9,0.4,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.75,0.8,0.7,0.8
49,cvc_use_min_lumens_required,1.0,0.3,0.5,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8,0.6,0.3,0.35,0.6,0.7,0.7
50,cvc_lipid_tpn_set_change_24h,1.0,0.9,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9,1.0,0.8,0.8,0.85
51,cvc_propofol_set_change_6_12h,0.8,0.7,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.8,0.7,0.8
52,cauti_indication_documented,1.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.9,1.0,0.6,0.8,0.9
53,cauti_consider_external_catheter,0.5,0.45,0.2,0.85,0.5,0.7,0.45,0.8,1.0,0.8,0.1,0.0,0.45,0.0,0.3,0.4,0.5,0.8,0.8,0.5
54,cauti_guideline_availability,1.0,0.5,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
55,cauti_avoid_incontinence_indication,0.0,0.35,0.6,0.65,0.0,0.5,1.0,0.6,0.6,1.0,0.0,0.1,0.8,0.0,0.2,0.4,0.0,0.6,0.8,0.5
56,cauti_avoid_patient_request_indication,1.0,0.9,0.8,0.95,0.85,0.8,0.8,1.0,0.65,0.9,0.9,1.0,0.8,0.0,0.5,0.9,0.5,0.8,0.8,0.8
57,cauti_avoid_immobility_indication,1.0,1.0,0.8,0.75,0.8,0.85,1.0,1.0,0.85,0.9,1.0,1.0,0.2,0.0,0.1,0.2,0.4,0.6,0.8,0.7
58,cauti_initial_staff_training,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0
59,cauti_refresher_training,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0
60,cauti_insertion_by_trained_personnel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
61,cauti_patient_family_education,0.0,0.6,0.7,0.5,1.0,1.0,0.9,0.6,0.7,0.8,1.0,0.9,0.8,0.8,0.8,0.4,0.6,0.6,0.6,0.6
62,cauti_educational_materials_availability,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0
63,cauti_hand_hygiene_pre_insertion,1.0,0.9,0.6,0.9,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.9,1.0,0.8,0.9,0.7,1.0,0.8,0.8,0.75
64,cauti_two_person_insertion_technique,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,cauti_sterile_gloves_use,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,cauti_meatal_cleaning_antiseptic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,cauti_aseptic_insertion_supplies,1.0,1.0,0.8,0.95,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.7,0.9,0.8,1.0,1.0,0.8,0.8,0.85
68,cauti_use_smallest_catheter_size,0.5,0.8,0.9,1.0,0.8,0.85,0.65,1.0,0.95,0.8,1.0,1.0,0.7,0.9,0.7,0.9,0.0,0.8,1.0,0.8
69,cauti_avoid_special_coated_catheters,0.5,0.8,0.9,1.0,0.8,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.6,1.0,1.0,0.9,0.0,0.8,0.6,0.8
70,cauti_avoid_prophylactic_abx_pre,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
