icu_id,icu_type,rater,clabsi_score,cauti_score,vap_score
1,General,HeadNurse,88.24,77.62,72.17
1,General,Attending,67.45,71.90,57.39
2,General,HeadNurse,62.35,82.86,76.52
2,General,Attending,60.00,73.81,84.35
3,General,HeadNurse,74.90,80.24,72.17
3,General,Attending,71.37,75.24,81.74
4,General,HeadNurse,79.80,89.05,68.70
4,General,Attending,78.82,92.38,86.09
5,General,HeadNurse,70.59,73.33,86.96
5,General,Attending,70.98,73.10,87.83
6,General,HeadNurse,63.14,60.48,48.70
6,General,Attending,75.88,70.00,87.83
7,General,HeadNurse,69.22,70.24,67.39
7,General,Attending,69.80,70.24,68.70
8,General,HeadNurse,70.59,86.67,67.83
8,General,Attending,69.61,86.67,67.39
9,General,HeadNurse,64.71,70.95,68.26
9,General,Attending,64.12,70.95,67.39
10,Surgical,HeadNurse,88.63,87.14,64.35
10,Surgical,Attending,89.22,86.90,68.70
11,Surgical,HeadNurse,90.00,84.76,74.78
11,Surgical,Attending,89.41,88.10,70.43
12,Surgical,HeadNurse,91.37,83.10,73.91
12,Surgical,Attending,90.59,85.48,75.65
13,Surgical,HeadNurse,91.57,83.81,64.35
13,Surgical,Attending,91.37,82.38,69.57
14,Surgical,HeadNurse,89.61,93.33,75.65
14,Surgical,Attending,89.61,94.52,75.65
15,Surgical,HeadNurse,91.76,92.86,76.09
15,Surgical,Attending,91.96,94.29,76.52
16,Surgical,HeadNurse,85.49,82.86,72.17
16,Surgical,Attending,86.27,82.86,73.04
17,Surgical,HeadNurse,38.04,79.05,70.43
17,Surgical,Attending,81.18,87.62,75.65
18,Medical,HeadNurse,88.63,90.71,79.13
18,Medical,Attending,88.63,90.71,83.48
19,Medical,HeadNurse,86.86,90.95,84.35
19,Medical,Attending,84.71,90.95,82.17
20,Medical,HeadNurse,68.63,76.67,68.26
20,Medical,Attending,67.45,75.71,67.39
